#,PYTHON_V,BENCHMARK_NAME,BUG_NUMBER,TARGET_DIR,TEST_SUITE,EXCLUDE,TARGET_FAILING_TESTS
1001,3.8,black,1,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_works_in_mono_process_only_environment"
1003,3.8,black,3,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_invalid_config_return_code"
1004,3.8,black,4,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_beginning_backslash"
1006,3.8,black,6,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_async_as_identifier;
tests/test_black.py::BlackTestCase::test_python37"
1007,3.8,black,7,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_tuple_assign"
1008,3.8,black,8,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_comments7"
1010,3.8,black,10,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_comment_indentation"
1011,3.8,black,11,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_comments6"
1014,3.8,black,14,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_get_future_imports"
1015,3.8,black,15,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_fmtonoff2"
1018,3.8,black,18,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_preserves_line_endings"
1019,3.8,black,19,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_comment_in_decorator"
1023,3.8,black,23,.,"tests/test_black.py","env;
tests","tests/test_black.py::BlackTestCase::test_python2"
2001,3.6,cookiecutter,1,cookiecutter,"tests/test_abort_generate_on_hook_error.py;
tests/test_generate_context.py;
tests/test_generate_copy_without_render.py;
tests/test_generate_file.py;
tests/test_generate_files.py;
tests/test_generate_hooks.py;
tests/test_hooks.py;
tests/test_output_folder.py","-","tests/test_generate_context.py::test_generate_context_decodes_non_ascii_chars"
2002,3.6,cookiecutter,2,cookiecutter,"tests/test_find.py;
tests/test_hooks.py","-","tests/test_hooks.py::TestFindHooks::test_find_hook;
tests/test_hooks.py::TestExternalHooks::test_run_hook"
2003,3.6,cookiecutter,3,cookiecutter,"tests/test_cli.py;
tests/test_prompt.py;
tests/test_read_repo_password.py;
tests/test_read_user_choice.py;
tests/test_read_user_dict.py;
tests/test_read_user_variable.py;
tests/test_read_user_yes_no.py","-","tests/test_read_user_choice.py::test_click_invocation"
2004,3.6,cookiecutter,4,cookiecutter,"tests/test_find.py;
tests/test_generate_context.py;
tests/test_generate_copy_without_render.py;
tests/test_generate_file.py;
tests/test_generate_files.py;
tests/test_generate_hooks.py;
tests/test_hooks.py;
tests/test_output_folder.py","-","tests/test_hooks.py::TestExternalHooks::test_run_failing_hook"
3001,3.8,fastapi,1,fastapi,"tests/test_additional_properties.py;
tests/test_additional_response_extra.py;
tests/test_additional_responses_bad.py;
tests/test_additional_responses_custom_validationerror.py;
tests/test_additional_responses_default_validationerror.py;
tests/test_additional_responses_response_class.py;
tests/test_additional_responses_router.py;
tests/test_callable_endpoint.py;
tests/test_custom_route_class.py;
tests/test_custom_swagger_ui_redirect.py;
tests/test_datetime_custom_encoder.py;
tests/test_default_response_class.py;
tests/test_default_response_class_router.py;
tests/test_dependency_cache.py;
tests/test_dependency_class.py;
tests/test_dependency_contextmanager.py;
tests/test_dependency_duplicates.py;
tests/test_dependency_overrides.py;
tests/test_duplicate_models_openapi.py;
tests/test_empty_router.py;
tests/test_extra_routes.py;
tests/test_filter_pydantic_sub_model.py;
tests/test_forms_from_non_typing_sequences.py;
tests/test_include_route.py;
tests/test_infer_param_optionality.py;
tests/test_inherited_custom_class.py;
tests/test_invalid_path_param.py;
tests/test_invalid_sequence_param.py;
tests/test_jsonable_encoder.py;
tests/test_multi_body_errors.py;
tests/test_multi_query_errors.py;
tests/test_no_swagger_ui_redirect.py;
tests/test_param_class.py;
tests/test_param_in_path_and_dependency.py;
tests/test_put_no_body.py;
tests/test_repeated_dependency_schema.py;
tests/test_request_body_parameters_media_type.py;
tests/test_response_change_status_code.py;
tests/test_response_class_no_mediatype.py;
tests/test_response_code_no_body.py;
tests/test_response_model_invalid.py;
tests/test_response_model_sub_types.py;
tests/test_router_events.py;
tests/test_router_prefix_with_template.py;
tests/test_security_api_key_cookie.py;
tests/test_security_api_key_cookie_optional.py;
tests/test_security_api_key_header.py;
tests/test_security_api_key_header_optional.py;
tests/test_security_api_key_query.py;
tests/test_security_api_key_query_optional.py;
tests/test_security_http_base.py;
tests/test_security_http_base_optional.py;
tests/test_security_http_basic_optional.py;
tests/test_security_http_basic_realm.py;
tests/test_security_http_bearer.py;
tests/test_security_http_bearer_optional.py;
tests/test_security_http_digest.py;
tests/test_security_http_digest_optional.py;
tests/test_security_oauth2.py;
tests/test_security_oauth2_authorization_code_bearer.py;
tests/test_security_oauth2_optional.py;
tests/test_security_oauth2_password_bearer_optional.py;
tests/test_security_openid_connect.py;
tests/test_security_openid_connect_optional.py;
tests/test_serialize_response.py;
tests/test_serialize_response_dataclass.py;
tests/test_serialize_response_model.py;
tests/test_skip_defaults.py;
tests/test_starlette_exception.py;
tests/test_starlette_urlconvertors.py;
tests/test_sub_callbacks.py;
tests/test_swagger_ui_init_oauth.py;
tests/test_union_body.py;
tests/test_union_inherited_body.py;
tests/test_validate_response.py;
tests/test_validate_response_dataclass.py;
tests/test_validate_response_recursive.py;
tests/test_ws_router.py","-","tests/test_jsonable_encoder.py::test_encode_model_with_default"
3002,3.8,fastapi,2,fastapi,"tests/test_additional_response_extra.py;
tests/test_additional_responses_router.py;
tests/test_custom_route_class.py;
tests/test_default_response_class.py;
tests/test_default_response_class_router.py;
tests/test_dependency_overrides.py;
tests/test_empty_router.py;
tests/test_include_route.py;
tests/test_infer_param_optionality.py;
tests/test_router_events.py;
tests/test_router_prefix_with_template.py;
tests/test_sub_callbacks.py;
tests/test_ws_router.py","-","tests/test_ws_router.py::test_router_ws_depends_with_override"
3003,3.8,fastapi,3,fastapi,"tests/test_serialize_response_model.py;
tests/test_additional_response_extra.py;
tests/test_additional_responses_router.py;
tests/test_custom_route_class.py;
tests/test_default_response_class.py;
tests/test_default_response_class_router.py;
tests/test_dependency_overrides.py;
tests/test_empty_router.py;
tests/test_include_route.py;
tests/test_infer_param_optionality.py;
tests/test_router_events.py;
tests/test_router_prefix_with_template.py;
tests/test_sub_callbacks.py;
tests/test_ws_router.py","-","tests/test_serialize_response_model.py::test_valid;
tests/test_serialize_response_model.py::test_coerce;
tests/test_serialize_response_model.py::test_validlist;
tests/test_serialize_response_model.py::test_validdict;
tests/test_serialize_response_model.py::test_valid_exclude_unset;
tests/test_serialize_response_model.py::test_coerce_exclude_unset;
tests/test_serialize_response_model.py::test_validlist_exclude_unset;
tests/test_serialize_response_model.py::test_validdict_exclude_unset"
3004,3.8,fastapi,4,fastapi,"tests/test_param_in_path_and_dependency.py","-","tests/test_param_in_path_and_dependency.py::test_reused_param"
3005,3.8,fastapi,5,fastapi,"tests/test_filter_pydantic_sub_model.py","-","tests/test_filter_pydantic_sub_model.py::test_filter_sub_model"
3006,3.8,fastapi,6,fastapi,"tests/test_forms_from_non_typing_sequences.py","-","tests/test_forms_from_non_typing_sequences.py::test_python_list_param_as_form;
tests/test_forms_from_non_typing_sequences.py::test_python_set_param_as_form;
tests/test_forms_from_non_typing_sequences.py::test_python_tuple_param_as_form"
3007,3.8,fastapi,7,fastapi,"tests/test_multi_body_errors.py","-","tests/test_multi_body_errors.py::test_jsonable_encoder_requiring_error"
3009,3.8,fastapi,9,fastapi,"tests/test_request_body_parameters_media_type.py","-","tests/test_request_body_parameters_media_type.py::test_openapi_schema"
3010,3.8,fastapi,10,fastapi,"tests/test_skip_defaults.py;
tests/test_additional_response_extra.py;
tests/test_additional_responses_router.py;
tests/test_dependency_overrides.py;
tests/test_empty_router.py;
tests/test_include_route.py;
tests/test_router_prefix_with_template.py;
tests/test_ws_router.py","-","tests/test_skip_defaults.py::test_return_defaults"
3011,3.8,fastapi,11,fastapi,"tests/test_union_inherited_body.py;
tests/test_union_body.py","-","tests/test_union_body.py::test_item_openapi_schema;
tests/test_union_body.py::test_post_other_item;
tests/test_union_body.py::test_post_item;
tests/test_union_inherited_body.py::test_inherited_item_openapi_schema;
tests/test_union_inherited_body.py::test_post_extended_item;
tests/test_union_inherited_body.py::test_post_item"
3012,3.8,fastapi,12,fastapi,"tests/test_security_http_base.py;
tests/test_security_http_base_optional.py;
tests/test_security_http_basic_optional.py;
tests/test_security_http_basic_realm.py;
tests/test_security_http_bearer.py;
tests/test_security_http_bearer_optional.py;
tests/test_security_http_digest.py;
tests/test_security_http_digest_optional.py","-","tests/test_security_http_bearer_optional.py::test_security_http_bearer_incorrect_scheme_credentials"
3014,3.8,fastapi,14,fastapi,"tests/test_additional_properties.py","-","tests/test_additional_properties.py::test_additional_properties_schema"
3016,3.8,fastapi,16,fastapi,"tests/test_jsonable_encoder.py","-","tests/test_jsonable_encoder.py::test_encode_model_with_config"
4002,3.7,httpie,2,httpie,"tests/test_redirects.py;
tests/test_errors.py","-","tests/test_redirects.py::TestRedirects::test_max_redirects"
4003,3.7,httpie,3,httpie,"tests/test_sessions.py","-","tests/test_sessions.py::TestSession::test_download_in_session"
4004,3.7,httpie,4,httpie,"tests/test_regressions.py","-","tests/test_regressions.py::test_Host_header_overwrite"
4005,3.7,httpie,5,httpie,"tests/tests.py","-","tests/tests.py::TestItemParsing::test_escape_longsep"
5001,3.7,keras,1,.,"tests/keras/backend/backend_test.py;
tests/keras/callbacks/callbacks_test.py;
tests/keras/engine/test_topology.py;
tests/keras/initializers_test.py;
tests/keras/layers/cudnn_recurrent_test.py;
tests/keras/layers/merge_test.py;
tests/keras/layers/recurrent_test.py;
tests/test_model_saving.py","env;
tests","tests/keras/initializers_test.py::test_statefulness"
5003,3.7,keras,3,.,"tests/integration_tests/test_tensorflow_integration.py;
tests/keras/layers/cudnn_recurrent_test.py;
tests/keras/layers/merge_test.py;
tests/keras/layers/recurrent_test.py;
tests/keras/losses_test.py;
tests/keras/test_sequential_model.py;
tests/keras/utils/multi_gpu_test.py","env;
tests","tests/keras/test_sequential_model.py::test_clone_functional_model_with_multi_outputs"
